Id,Time(seconds),Time(text),Latitude,Longitude,FlightMode,Altitude(feet),Altitude_meters,VpsAltitude(feet),VpsAltitude_meters,Speed(mph),Speed(m/s),HomeDistance(feet),HomeDistance(meters),HomeLatitude,HomeLongitude,GpsCount,BatteryPower(%),BatteryVoltage,BatteryVoltageDeviation,BatteryCell1Voltage,BatteryCell2Voltage,BatteryCell3Voltage,BatteryCell4Voltage,VelocityX,VelocityY,VelocityZ,Pitch,Roll,Yaw,RcAileron,RcElevator,RcGyro,RcRudder,RcThrottle,NonGpsError,GoHomeStatus,AppTip,AppWarning,AppMessage
1,0.6,0m 0.6s,39.23055371,-77.25512031,Starting Motors,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0,0,10,97,16.99,0.007,4.245,4.246,4.247,4.252,0,0,0,0.6,0.5,49.9,0,0,0,0,0,,,Taking Off,The aircraft is in a Warning Zone (Unpaved Airports). Fly with caution here.,
2,0.7,0m 0.7s,39.23055377,-77.25512032,Starting Motors,0.0,0.0,0.3,0.1,0.0,0.0,5.2,1.6,39.230566,-77.25513006,10,97,16.99,0.007,4.245,4.246,4.247,4.252,0,0,0,0.7,0.5,49.9,0,0,0,0,0,,,,,
3,0.9,0m 0.9s,39.23055385,-77.25512032,Starting Motors,0.0,0.0,0.3,0.1,1.1,0.5,5.2,1.6,39.230566,-77.25513006,10,97,16.99,0.007,4.245,4.246,4.247,4.252,0,0,0,0.6,0.5,49.9,0,0,0,0,0,,,,,
4,1,0m 1s,39.23055391,-77.2551203,Starting Motors,0.0,0.0,0.3,0.1,0.0,0.0,5.2,1.6,39.230566,-77.25513006,10,97,16.99,0.007,4.245,4.246,4.247,4.252,0,0,0,0.6,0.5,49.9,0,0,0,0,0,,,,,
5,1.1,0m 1.1s,39.23055399,-77.2551203,Starting Motors,0.0,0.0,0.3,0.1,1.1,0.5,5.2,1.6,39.230566,-77.25513006,10,97,16.99,0.007,4.245,4.246,4.247,4.252,0,0,0,0.7,0.4,49.9,0,0,0,0,0,,,,,
6,1.2,0m 1.2s,39.23055407,-77.25512029,Starting Motors,0.0,0.0,0.3,0.1,0.0,0.0,5.2,1.6,39.230566,-77.25513006,10,97,16.99,0.007,4.245,4.246,4.247,4.252,0,0,0,0.7,0.5,49.9,0,0,0,0,0,,,,,
7,1.3,0m 1.3s,39.23055414,-77.25512028,Starting Motors,0.0,0.0,0.3,0.1,0.0,0.0,5.1,1.6,39.230566,-77.25513006,10,97,16.99,0.007,4.245,4.246,4.247,4.252,0,0,0,0.7,0.5,49.9,0,0,0,0,0,,,,,
8,1.4,0m 1.4s,39.23055421,-77.25512024,Starting Motors,0.0,0.0,0.3,0.1,1.1,0.5,5.1,1.6,39.230566,-77.25513006,10,97,16.99,0.007,4.245,4.246,4.247,4.252,0,0,0,0.7,0.5,49.9,0,0,0,0,0,,,,,
9,1.5,0m 1.5s,39.23055428,-77.25512021,Starting Motors,0.0,0.0,0.3,0.1,0.0,0.0,5.1,1.6,39.230566,-77.25513006,10,97,16.99,0.007,4.245,4.246,4.247,4.252,0,0,0,0.7,0.5,49.9,0,0,0,0,0,,,,,
10,1.6,0m 1.6s,39.23055434,-77.25512017,Auto Takeoff,0.0,0.0,0.3,0.1,0.0,0.0,5.1,1.6,39.230566,-77.25513006,10,97,16.99,0.007,4.245,4.246,4.247,4.252,0,0,0,0.7,0.5,49.9,0,0,0,0,0,,,,,
